aX,aY,aZ,gX,gY,gZ
-4.000,3.814,3.895,-117.310,958.435,-779.846
-4.000,2.274,1.738,-53.711,1038.940,-995.605
-4.000,1.295,0.172,84.045,1018.677,-1082.214
-4.000,0.534,-1.097,198.425,979.980,-1116.272
-4.000,-0.415,-2.253,173.279,933.167,-1125.122
-4.000,-1.886,-3.470,76.355,875.000,-1137.390
-4.000,-3.702,-3.389,-63.477,749.939,-1130.737
-4.000,-4.000,-2.881,-62.073,594.543,-1021.973
-4.000,-4.000,-3.527,20.813,533.752,-761.597
-4.000,-2.939,-4.000,94.299,480.652,-451.965
-3.813,-1.418,-4.000,116.150,354.126,-293.701
-3.373,-1.771,-3.748,84.412,209.778,-293.457
-2.960,-2.439,-2.818,52.429,100.769,-293.213
-2.611,-2.504,-2.041,39.368,32.349,-232.056
-2.271,-2.242,-1.409,34.973,-5.005,-158.752
-2.026,-2.084,-1.035,8.118,-20.386,-106.567
-1.682,-2.029,-0.986,-17.090,-23.071,-70.068
-1.589,-1.885,-1.154,-18.127,-26.978,-38.513
-1.509,-1.785,-0.990,-0.122,-51.575,-15.137
-1.437,-1.731,-0.661,19.592,-80.505,3.174
-1.405,-1.689,-0.447,38.086,-90.820,21.179
-1.364,-1.637,-0.413,47.241,-84.961,38.025
-1.347,-1.595,-0.550,46.204,-73.120,54.565
-1.336,-1.607,-0.675,46.753,-66.345,70.313
-1.326,-1.557,-0.703,52.307,-65.491,89.600
-1.280,-1.357,-0.773,69.763,-66.101,114.319
-1.234,-1.216,-0.873,85.510,-68.787,131.958
-1.177,-1.212,-0.826,93.506,-83.984,137.573
-1.130,-1.285,-0.764,95.825,-100.769,140.381
-1.086,-1.405,-0.743,89.966,-111.938,144.653
-1.122,-1.574,-0.676,90.454,-121.704,152.283
-1.123,-1.663,-0.555,91.370,-131.470,168.945
-1.161,-1.584,-0.510,88.745,-133.972,194.214
-1.192,-1.458,-0.495,100.830,-134.949,217.102
-1.195,-1.331,-0.445,119.019,-141.479,233.093
-1.154,-1.255,-0.347,124.695,-150.696,242.126
-1.081,-1.309,-0.298,120.972,-156.006,244.690
-1.006,-1.482,-0.368,110.779,-154.785,244.507
-0.958,-1.742,-0.505,104.065,-153.870,248.413
-0.948,-1.995,-0.588,100.098,-160.339,262.695
-0.994,-2.102,-0.565,101.685,-172.180,291.931
-1.106,-2.027,-0.376,115.601,-186.279,332.825
-1.155,-1.696,-0.094,130.188,-193.787,378.906
-1.168,-1.240,0.125,127.258,-183.289,419.434
-1.083,-0.793,0.199,103.088,-156.677,443.420
-0.941,-0.399,0.099,64.270,-121.155,448.547
-0.764,-0.136,-0.119,31.494,-89.050,434.753
-0.563,-0.015,-0.417,9.705,-68.665,408.447
-0.413,-0.060,-0.729,-3.845,-62.073,375.427
-0.344,-0.218,-0.891,-16.602,-70.129,343.628
-0.263,-0.341,-0.880,-37.842,-87.036,324.280
-0.200,-0.390,-0.799,-61.157,-99.060,318.054
-0.147,-0.504,-0.722,-73.425,-102.844,315.674
-0.158,-0.471,-0.541,-79.346,-102.051,323.792
-0.055,-0.323,-0.416,-72.449,-94.116,331.482
0.002,-0.305,-0.512,-71.594,-75.317,321.716
0.035,-0.192,-0.649,-94.849,-56.091,316.956
0.116,-0.055,-0.857,-93.567,-43.945,317.261
0.182,0.086,-0.960,-74.890,-45.593,309.204
0.252,0.240,-0.897,-49.805,-61.035,297.546
0.328,0.349,-0.710,-31.250,-79.407,279.602
0.398,0.314,-0.591,-22.644,-85.876,253.052
0.454,0.056,-0.536,-26.306,-82.336,221.619
0.478,-0.341,-0.491,-34.668,-80.933,194.946
0.421,-0.441,-0.365,-32.593,-80.933,198.364
0.389,-0.442,-0.141,-32.593,-78.430,213.074
0.403,-0.390,-0.040,-26.672,-65.918,223.755
0.397,-0.117,-0.149,-35.828,-41.931,240.662
0.375,0.321,-0.336,-50.903,-22.461,253.906
0.492,0.739,-0.476,-62.317,-17.273,252.075
0.522,0.844,-0.496,-59.204,-23.254,223.206
0.534,0.703,-0.329,-60.486,-36.011,180.176
0.509,0.538,-0.102,-51.392,-43.152,148.437
0.453,0.583,0.064,-35.950,-37.964,136.414
0.342,0.897,0.119,-31.799,-19.653,135.132
-0.631,-1.616,0.424,-55.237,30.579,291.199
-0.753,-1.432,0.356,-22.156,28.076,314.270
-0.693,-1.282,0.373,-10.254,23.254,329.712
-0.669,-1.154,0.329,-5.432,23.437,339.233
-0.613,-1.005,0.257,8.423,22.888,346.741
-0.539,-0.836,0.234,8.972,16.174,350.281
-0.467,-0.724,0.345,7.996,4.150,347.900
-0.315,-0.692,0.413,26.306,-6.287,341.797
-0.219,-0.618,0.404,17.578,-7.080,330.261
-0.138,-0.611,0.295,-11.108,-1.038,311.768
-0.053,-0.658,0.199,-55.847,2.991,290.588
0.005,-0.693,0.126,-93.628,2.930,273.254
0.038,-0.664,0.076,-105.469,-0.122,263.611
0.073,-0.559,0.072,-91.492,-8.484,259.705
0.106,-0.400,0.097,-62.988,-21.301,256.104
0.158,-0.219,0.169,-37.598,-34.241,248.291
0.203,-0.050,0.202,-13.367,-45.105,233.948
0.280,0.067,0.287,-11.108,-53.284,211.304
0.329,0.116,0.356,-22.583,-56.274,183.655
0.347,0.136,0.463,-25.635,-57.373,155.029
0.370,0.110,0.541,-28.015,-54.321,128.174
0.405,0.058,0.533,-46.814,-41.382,101.929
0.427,-0.079,0.440,-59.937,-26.001,75.867
0.434,-0.297,0.351,-66.467,-16.724,53.101
0.427,-0.522,0.286,-63.171,-12.573,38.940
0.404,-0.715,0.293,-39.673,-14.465,35.583
0.370,-0.832,0.374,-3.418,-20.386,43.640
0.352,-0.840,0.452,36.560,-23.743,59.814
0.332,-0.790,0.456,72.083,-22.339,76.538
