aX,aY,aZ,gX,gY,gZ
-0.544,0.548,2.181,105.042,-30.945,52.673
-0.538,0.687,2.081,96.191,-5.920,41.931
-0.551,0.753,1.951,84.900,14.832,29.053
-0.543,0.742,1.825,70.068,31.006,14.221
-0.507,0.687,1.717,52.734,44.128,1.953
-0.463,0.602,1.599,36.804,55.298,-6.531
-0.394,0.504,1.503,27.283,65.857,-13.062
-0.310,0.430,1.423,23.621,76.294,-16.235
-0.215,0.412,1.358,23.682,87.280,-16.724
-0.140,0.432,1.286,25.818,100.464,-16.785
-0.096,0.466,1.207,27.954,113.892,-16.479
-0.092,0.528,1.090,27.710,125.549,-17.456
-0.133,0.579,0.953,29.114,132.446,-19.348
-0.188,0.609,0.819,26.123,132.446,-22.583
-0.220,0.617,0.719,16.663,125.366,-25.696
-0.213,0.595,0.654,5.249,113.037,-29.175
-0.169,0.546,0.628,-5.249,98.389,-31.799
-0.110,0.492,0.645,-13.733,84.717,-32.227
-0.054,0.453,0.694,-20.081,74.463,-30.762
-0.012,0.434,0.754,-22.827,69.214,-30.029
0.010,0.438,0.811,-20.325,67.505,-30.273
0.006,0.461,0.860,-19.165,68.726,-31.799
-0.036,0.475,0.866,-21.240,70.190,-33.508
-0.090,0.488,0.852,-24.109,71.594,-36.316
-0.129,0.450,0.852,-37.231,70.068,-42.480
-0.140,0.345,0.881,-55.603,65.063,-48.584
-0.137,0.215,0.943,-75.562,59.448,-51.453
-0.120,0.056,1.050,-93.933,54.382,-52.307
-0.119,-0.165,1.221,-108.032,51.453,-51.880
-0.146,-0.472,1.450,-120.850,52.063,-46.448
-0.196,-0.863,1.733,-133.545,55.298,-33.813
-0.316,-1.326,2.143,-142.151,62.805,-12.207
-0.533,-1.838,2.691,-144.409,80.078,19.958
-0.755,-2.312,3.285,-139.832,112.000,66.101
-0.943,-2.673,3.761,-116.211,157.349,121.399
-1.035,-2.873,3.999,-67.139,218.872,182.495
-1.250,-2.712,3.971,-2.869,290.283,246.704
-1.534,-2.297,3.786,75.317,366.821,301.514
-1.837,-1.913,3.436,149.536,437.500,345.276
-2.158,-1.489,2.939,183.899,496.216,395.508
-2.564,-1.111,2.429,195.312,543.518,459.534
-2.992,-0.757,1.942,201.904,583.862,524.475
-3.427,-0.339,1.415,217.590,608.704,587.097
-3.845,0.112,0.943,264.648,607.117,640.991
-4.000,0.637,0.629,344.543,583.313,667.175
-4.000,1.326,0.398,433.289,532.715,668.030
-4.000,2.150,0.277,522.278,435.791,647.278
-4.000,3.438,0.123,551.331,304.016,606.079
-3.623,4.000,-0.029,465.332,153.748,508.484
-2.883,4.000,0.027,307.068,23.254,358.337
-2.294,4.000,0.200,150.208,-55.237,243.591
-1.939,3.718,0.386,-3.906,-91.064,196.472
-1.520,3.329,0.531,-133.606,-97.534,176.147
0.815,0.497,-0.104,-28.442,77.759,45.471
0.821,0.551,-0.077,-19.165,81.421,44.922
0.791,0.548,-0.037,-1.038,83.435,44.678
0.816,0.552,-0.065,24.780,83.557,45.715
0.844,0.590,-0.098,37.781,85.999,43.701
0.837,0.615,-0.163,41.687,91.614,40.649
0.861,0.611,-0.249,39.978,95.215,38.696
0.832,0.746,-0.253,11.230,94.971,37.109
0.847,1.166,-0.434,-20.691,90.332,30.212
0.891,0.786,-0.286,-64.209,73.975,-5.676
0.857,0.685,-0.252,-88.562,69.946,-29.358
0.764,0.506,-0.272,-104.431,73.181,-29.358
0.813,0.670,-0.316,-113.647,74.646,-14.893
0.771,0.633,-0.295,-118.652,78.613,-9.644
0.777,0.637,-0.446,-137.817,84.290,-10.986
0.777,0.637,-0.467,-164.551,82.275,-11.292
0.747,0.629,-0.477,-159.180,79.468,-13.184
0.716,0.581,-0.518,-149.536,80.566,-16.052
0.680,0.594,-0.540,-147.156,80.017,-17.700
0.664,0.560,-0.560,-143.860,82.458,-20.264
0.622,0.518,-0.577,-133.301,82.886,-24.841
0.574,0.522,-0.570,-122.559,80.139,-28.870
0.703,0.501,-0.584,-123.901,79.651,-31.982
0.498,0.540,-0.608,-117.676,73.730,-29.175
0.523,0.530,-0.636,-118.042,65.674,-28.442
0.500,0.563,-0.630,-112.671,58.472,-30.701
0.427,0.603,-0.667,-103.760,53.284,-30.151
0.364,0.625,-0.694,-101.196,46.570,-28.259
0.334,0.648,-0.772,-97.290,39.673,-29.419
0.332,0.636,-0.791,-93.689,33.691,-34.180
0.304,0.583,-0.766,-97.412,23.804,-42.480
0.233,0.545,-0.709,-90.027,13.184,-51.331
0.164,0.518,-0.672,-68.420,12.024,-57.739
0.081,0.554,-0.700,-50.171,12.207,-65.979
-0.100,0.585,-0.750,-36.255,10.559,-69.824
-0.331,0.679,-0.847,-33.630,7.935,-72.510
-0.589,0.737,-0.974,-46.265,2.258,-72.266
-1.000,0.596,-1.096,-51.941,-0.732,-67.200
-1.778,0.365,-1.350,-61.707,-3.174,-59.631
-2.641,-0.125,-1.546,-93.689,-35.156,-12.024
-3.102,-0.765,-1.525,-132.812,-96.863,88.257
-3.257,-1.264,-1.286,-158.386,-161.560,232.971
-3.632,-1.624,-1.096,-162.354,-207.520,394.165
-3.961,-1.868,-0.998,-140.259,-211.670,575.562
-4.000,-1.678,-0.812,-103.271,-194.031,771.729
-4.000,-1.035,-0.818,-48.279,-174.927,921.997
-4.000,-0.511,-0.963,36.377,-183.411,1002.380
-4.000,-0.255,-0.867,121.582,-241.943,1045.471
-4.000,0.259,-0.657,205.505,-303.772,1078.064
-4.000,1.247,-0.446,256.165,-326.782,1094.971
-4.000,2.406,-0.348,238.098,-333.679,1087.036
-3.983,3.434,-0.320,176.880,-336.365,1041.870
-3.556,4.000,-0.202,92.957,-340.759,950.623
-2.767,4.000,-0.028,33.997,-329.712,836.792
-1.943,4.000,0.373,49.622,-320.312,697.815
-1.467,4.000,0.918,49.500,-324.402,526.978
-1.301,4.000,1.488,-17.822,-339.172,395.264
-1.211,3.949,1.859,-89.905,-308.228,340.454
-1.383,3.259,1.957,-68.909,-240.479,234.375
-1.562,2.502,1.930,-6.348,-177.368,135.193
-1.608,1.982,1.782,49.805,-130.493,95.581
-1.504,1.774,1.504,82.947,-78.430,97.290
-1.257,1.755,1.197,94.849,-18.372,104.797
-1.051,1.922,0.917,100.708,25.208,102.600
-0.825,2.008,0.620,112.122,42.969,91.980
-0.684,2.056,0.317,115.417,50.720,66.650
-0.609,2.008,0.033,112.061,52.795,30.396
-0.602,1.961,-0.209,100.159,49.500,-4.700
-0.618,1.894,-0.346,78.369,36.926,-25.940
-0.650,1.744,-0.412,59.753,22.095,-37.659
-0.628,1.627,-0.409,46.021,13.428,-43.274
-0.600,1.505,-0.399,37.476,11.230,-48.584
-0.547,1.414,-0.362,38.513,10.803,-55.603
-0.502,1.345,-0.336,41.931,10.071,-62.866
-0.437,1.285,-0.309,43.884,11.475,-68.481
-0.384,1.239,-0.296,41.626,14.832,-73.242
-0.340,1.189,-0.307,38.147,17.334,-78.064
-0.295,1.144,-0.324,35.278,17.944,-83.496
-0.275,1.109,-0.356,30.884,15.625,-89.233
-0.280,1.071,-0.367,28.015,11.963,-96.741
-0.317,1.004,-0.375,24.902,6.531,-102.356
-0.372,0.911,-0.378,22.949,0.122,-104.126
-0.409,0.816,-0.373,21.729,-3.967,-101.379
-0.419,0.749,-0.368,18.250,-5.676,-93.994
-0.401,0.717,-0.356,13.306,-5.737,-83.740
-0.369,0.737,-0.350,5.798,-4.517,-74.036
-0.322,0.785,-0.327,-1.831,-3.601,-65.369
-0.275,0.838,-0.307,-7.141,-3.845,-60.181
-0.231,0.875,-0.288,-10.498,-4.761,-58.044
-0.213,0.905,-0.267,-13.428,-4.822,-58.899
-0.231,0.905,-0.247,-16.968,-5.127,-61.523
-0.268,0.877,-0.249,-18.188,-6.104,-62.988
-0.307,0.874,-0.230,-17.395,-7.935,-61.829
-0.329,0.822,-0.227,-15.869,-8.484,-61.462
-0.351,0.807,-0.235,-11.658,-8.118,-58.899
-0.353,0.798,-0.242,-10.010,-7.080,-53.711
-0.353,0.813,-0.251,-11.597,-5.737,-48.035
-0.337,0.848,-0.254,-12.512,-4.272,-41.626
-0.310,0.881,-0.252,-12.207,-3.906,-36.865
-0.287,0.917,-0.273,-11.902,-3.906,-35.339
-0.276,0.937,-0.277,-9.033,-3.601,-36.316
-0.287,0.932,-0.288,-5.310,-3.174,-37.781
-0.309,0.907,-0.315,-3.113,-2.075,-37.842
-0.320,0.867,-0.355,1.953,-1.648,-36.133
-0.318,0.845,-0.412,6.348,-1.831,-32.898
-0.306,0.841,-0.448,4.639,-2.563,-29.236
-0.283,0.835,-0.461,0.427,-3.357,-25.696
-0.257,0.821,-0.451,-2.380,-3.967,-22.705
-0.251,0.823,-0.428,-5.371,-4.395,-20.691
-0.248,0.828,-0.403,-7.080,-4.272,-19.470
-0.253,0.829,-0.373,-7.019,-4.395,-18.372
-0.247,0.827,-0.332,-5.371,-5.310,-17.456
-0.237,0.810,-0.247,-4.883,-6.836,-15.869
-0.209,0.790,-0.117,-5.127,-7.080,-12.207
-0.174,0.807,0.040,-6.165,-3.845,-6.897
-0.123,0.858,0.256,-7.385,0.977,-1.160
-0.087,0.937,0.498,-6.592,8.911,3.174
-0.066,1.029,0.732,-4.456,21.362,4.333
-0.049,1.105,0.941,-1.648,38.452,2.808
0.448,0.308,-0.945,4.700,23.499,-2.014
0.453,0.305,-0.922,4.395,22.400,-2.258
